Lake,Year,DOY,Chlorophyll,Phycocyanin,DissolvedOxygen_Saturation,pH,Temperature
Green Valley Lake,2016,200,1.85,0.38,65.4,7.89,27.03
Green Valley Lake,2016,201,1.82,0.37,65.2,7.89,27.01
Green Valley Lake,2016,202,1.8,0.37,65.0,7.88,26.98
Green Valley Lake,2016,203,1.78,0.36,64.8,7.88,26.94
Green Valley Lake,2016,204,1.76,0.36,64.6,7.87,26.89
Green Valley Lake,2016,205,1.74,0.35,64.4,7.87,26.83
Green Valley Lake,2016,206,1.72,0.35,64.3,7.86,26.76
Green Valley Lake,2016,210,18.11,10.21,110.3,8.76,26.31
Green Valley Lake,2016,211,21.56,12.89,122.1,8.91,26.11
Green Valley Lake,2016,212,25.87,15.11,134.8,9.08,25.89
Green Valley Lake,2016,213,30.12,18.34,148.2,9.23,25.66
Green Valley Lake,2016,214,33.56,21.98,160.1,9.37,25.43
Green Valley Lake,2016,215,35.01,23.01,169.4,9.48,25.21
Green Valley Lake,2016,217,33.11,20.12,168.0,9.47,24.78
Green Valley Lake,2016,218,30.04,17.34,159.2,9.36,24.59
Green Valley Lake,2016,219,26.45,14.11,147.8,9.22,24.41
Green Valley Lake,2016,220,22.19,11.03,135.1,9.07,24.25
Green Valley Lake,2016,221,18.45,8.22,122.9,8.92,24.11
Green Valley Lake,2016,222,15.02,6.01,111.4,8.77,23.98
Green Valley Lake,2016,223,12.33,4.34,101.3,8.63,23.87
Green Valley Lake,2016,224,10.12,3.11,92.8,8.5,23.77
Green Valley Lake,2016,225,8.45,2.19,85.6,8.39,23.69
Green Valley Lake,2016,226,7.11,1.56,80.1,8.3,23.62
Green Valley Lake,2016,227,21.45,10.33,75.2,8.21,23.56
Green Valley Lake,2016,228,24.89,12.87,68.4,8.11,23.51
Green Valley Lake,2016,229,28.01,15.11,59.2,7.98,23.47
Green Valley Lake,2016,230,30.34,17.02,48.1,7.84,23.44
Green Valley Lake,2016,231,31.11,18.23,37.3,7.71,23.41
Green Valley Lake,2016,232,29.87,16.45,29.8,7.6,23.39
Green Valley Lake,2016,233,26.12,13.01,24.5,7.52,23.38
Green Valley Lake,2016,234,22.03,10.23,30.1,7.58,23.37
Green Valley Lake,2016,235,18.45,8.11,36.7,7.67,23.36
Green Valley Lake,2016,236,15.39,6.43,43.2,7.76,23.35
Green Valley Lake,2016,237,12.98,5.02,49.8,7.85,23.34
Green Valley Lake,2016,238,10.87,3.99,55.1,7.94,23.33
Green Valley Lake,2016,239,9.21,3.12,60.2,8.02,23.32
Green Valley Lake,2016,240,7.89,2.45,64.8,8.1,23.31
South Twin Lake,2019,155,10.12,0.34,80.1,8.15,23.98
South Twin Lake,2019,156,12.45,0.67,84.3,8.21,24.21
South Twin Lake,2019,157,15.89,1.02,90.2,8.29,24.56
South Twin Lake,2019,158,19.34,1.88,99.8,8.41,24.91
South Twin Lake,2019,159,24.01,2.99,112.1,8.56,25.32
South Twin Lake,2019,160,28.34,4.51,128.3,8.72,25.76
South Twin Lake,2019,161,31.02,6.23,145.9,8.89,26.12
South Twin Lake,2019,162,32.87,8.01,161.2,9.03,26.45
South Twin Lake,2019,163,33.11,9.12,170.8,9.11,26.76
South Twin Lake,2019,164,31.98,8.55,165.3,9.06,27.01
South Twin Lake,2019,165,29.04,7.11,154.1,8.95,27.23
South Twin Lake,2019,166,25.34,5.98,142.8,8.84,27.41
South Twin Lake,2019,167,21.99,5.01,131.7,8.73,27.57
South Twin Lake,2019,168,18.45,4.11,121.3,8.62,27.71
South Twin Lake,2019,169,15.34,3.34,112.1,8.52,27.83
South Twin Lake,2019,170,12.87,2.76,104.3,8.43,27.93
South Twin Lake,2019,171,10.98,2.22,97.8,8.35,28.01
South Twin Lake,2019,172,9.34,1.81,92.1,8.28,28.07
South Twin Lake,2019,173,8.01,1.54,87.6,8.22,28.11
South Twin Lake,2019,174,6.98,1.31,83.9,8.17,28.13
South Twin Lake,2019,175,6.12,1.11,80.7,8.12,28.14
South Twin Lake,2019,176,5.43,0.98,78.1,8.08,28.13
South Twin Lake,2019,177,4.89,0.87,75.9,8.05,28.11
South Twin Lake,2019,178,4.42,0.79,74.0,8.02,28.07
South Twin Lake,2019,179,3.99,0.71,72.3,7.99,28.02
South Twin Lake,2019,180,3.61,0.64,70.8,7.97,27.95
South Twin Lake,2019,181,3.28,0.59,69.5,7.95,27.87
South Twin Lake,2019,182,2.99,0.54,68.4,7.93,27.77
South Twin Lake,2019,183,2.74,0.5,67.3,7.91,27.66
South Twin Lake,2019,184,2.53,0.46,66.4,7.9,27.54
South Twin Lake,2019,185,2.35,0.43,65.6,7.88,27.4
South Twin Lake,2019,186,2.19,0.4,64.9,7.87,27.25
South Twin Lake,2019,187,2.05,0.38,64.2,7.86,27.09
South Twin Lake,2019,188,1.93,0.36,63.6,7.85,26.92
South Twin Lake,2019,189,1.83,0.34,63.1,7.84,26.74
South Twin Lake,2019,190,1.74,0.33,62.6,7.83,26.55
South Twin Lake,2019,191,1.66,0.31,62.1,7.82,26.35
South Twin Lake,2019,192,1.59,0.3,61.7,7.81,26.14
South Twin Lake,2019,193,1.53,0.29,61.3,7.8,25.92
South Twin Lake,2019,194,1.47,0.28,60.9,7.8,25.69
South Twin Lake,2019,195,1.42,0.27,60.6,7.79,25.45
South Twin Lake,2019,196,1.37,0.26,60.3,7.78,25.21
South Twin Lake,2019,197,1.33,0.25,60.0,7.78,24.96
South Twin Lake,2019,198,1.29,0.25,59.7,7.77,24.7
South Twin Lake,2019,199,1.25,0.24,59.4,7.76,24.44
South Twin Lake,2019,200,1.22,0.23,59.1,7.76,24.18
South Twin Lake,2019,201,1.19,0.23,58.9,7.75,23.91
South Twin Lake,2019,202,1.16,0.22,58.6,7.75,23.64
South Twin Lake,2019,203,1.13,0.22,58.4,7.74,23.37
South Twin Lake,2019,204,1.1,0.21,58.2,7.74,23.1
South Twin Lake,2019,205,1.08,0.21,58.0,7.73,22.83
South Twin Lake,2019,206,1.06,0.2,57.8,7.73,22.56
South Twin Lake,2019,207,1.04,0.2,57.6,7.72,22.29
South Twin Lake,2019,208,1.02,0.19,57.4,7.72,22.02
South Twin Lake,2019,209,1.0,0.19,57.3,7.71,21.76
South Twin Lake,2019,210,0.98,0.19,57.1,7.71,21.5
South Twin Lake,2019,211,0.97,0.18,57.0,7.7,21.24
South Twin Lake,2019,212,0.95,0.18,56.8,7.7,20.99
South Twin Lake,2019,213,0.94,0.18,56.7,7.7,20.74
South Twin Lake,2019,214,0.92,0.17,56.6,7.69,20.49
South Twin Lake,2019,215,0.91,0.17,56.5,7.69,20.25
South Twin Lake,2019,216,0.9,0.17,56.4,7.69,20.01
South Twin Lake,2019,217,0.88,0.17,56.3,7.68,19.78
South Twin Lake,2019,218,0.87,0.16,56.2,7.68,19.55
South Twin Lake,2019,219,0.86,0.16,56.1,7.68,19.32
South Twin Lake,2019,220,0.85,0.16,56.0,7.67,19.1
Swan Lake,2019,140,5.12,0.45,98.3,8.33,20.43
Swan Lake,2019,141,5.67,0.51,96.1,8.31,19.89
Swan Lake,2019,142,6.01,0.58,94.2,8.28,20.11
Swan Lake,2019,143,6.34,0.67,92.1,8.25,20.56
Swan Lake,2019,144,6.88,0.79,90.4,8.22,21.34
Swan Lake,2019,145,7.21,0.91,89.0,8.2,22.21
Swan Lake,2019,146,7.67,1.04,87.8,8.18,23.01
Swan Lake,2019,147,8.02,1.21,86.9,8.16,23.76
Swan Lake,2019,148,8.45,1.43,86.1,8.14,24.45
Swan Lake,2019,149,8.99,1.76,85.4,8.12,25.07
Swan Lake,2019,150,9.57,2.11,84.9,8.1,25.62
Swan Lake,2019,151,10.34,2.56,84.5,8.08,26.09
Swan Lake,2019,152,11.21,3.04,84.2,8.07,26.49
Swan Lake,2019,153,12.11,3.57,83.9,8.05,26.83
Swan Lake,2019,154,13.04,4.11,83.6,8.04,27.11
Swan Lake,2019,155,14.02,4.67,83.4,8.02,27.34
Swan Lake,2019,156,15.01,5.21,83.2,8.01,27.52
Swan Lake,2019,157,16.03,5.78,83.0,7.99,27.66
Swan Lake,2019,158,17.06,6.34,82.8,7.98,27.77
Swan Lake,2019,159,18.09,6.91,82.7,7.97,27.84
Swan Lake,2019,160,19.12,7.45,82.5,7.95,27.89
Swan Lake,2019,161,20.14,8.01,82.4,7.94,27.91
Swan Lake,2019,162,21.15,8.56,82.3,7.93,27.9
Swan Lake,2019,163,22.14,9.1,82.2,7.91,27.87
Swan Lake,2019,164,23.12,9.63,82.1,7.9,27.81
Swan Lake,2019,165,24.08,10.14,82.0,7.89,27.73
Swan Lake,2019,166,25.02,10.63,81.9,7.88,27.63
Swan Lake,2019,167,25.94,11.1,81.9,7.87,27.51
Swan Lake,2019,168,26.83,11.55,81.8,7.86,27.37
Swan Lake,2019,169,27.69,11.97,81.7,7.85,27.21
Swan Lake,2019,170,28.52,12.37,81.7,7.84,27.03
Swan Lake,2019,171,29.31,12.74,81.7,7.83,26.84
Swan Lake,2019,172,30.06,13.09,81.6,7.82,26.63
Swan Lake,2019,173,30.77,13.4,81.6,7.81,26.41
Swan Lake,2019,174,31.43,13.69,81.6,7.8,26.17
Swan Lake,2019,175,32.04,13.94,81.5,7.79,25.92
Swan Lake,2019,176,32.6,14.16,81.5,7.78,25.66
Swan Lake,2019,177,33.11,14.34,81.5,7.77,25.39
Swan Lake,2019,178,33.56,14.49,81.4,7.76,25.11
Swan Lake,2019,179,33.96,14.6,81.4,7.75,24.82
Swan Lake,2019,181,34.59,14.73,81.3,7.73,24.23
Swan Lake,2019,182,34.82,14.74,81.3,7.72,23.93
Swan Lake,2019,183,35.0,14.72,81.3,7.71,23.62
Swan Lake,2019,184,35.12,14.67,81.3,7.7,23.32
Swan Lake,2019,185,35.19,14.59,81.2,7.69,23.01
Swan Lake,2019,186,35.19,14.48,81.2,7.68,22.7
Swan Lake,2019,187,35.14,14.34,81.2,7.67,22.4
Swan Lake,2019,188,35.03,14.17,81.1,7.66,22.1
Swan Lake,2019,190,34.64,13.74,81.1,7.64,21.51
Swan Lake,2019,191,34.35,13.48,81.0,7.63,21.22
Swan Lake,2019,192,34.01,13.19,81.0,7.62,20.94
Swan Lake,2019,193,33.6,12.87,81.0,7.61,20.66
Swan Lake,2019,194,33.14,12.53,80.9,7.6,20.39
Swan Lake,2019,195,32.61,12.16,80.9,7.59,20.12
Swan Lake,2019,196,32.03,11.77,80.9,7.58,19.86
Swan Lake,2019,197,31.39,11.36,80.8,7.57,19.6
Swan Lake,2019,198,30.7,10.93,80.8,7.56,19.35
Swan Lake,2019,199,29.96,10.48,80.8,7.55,19.1
Swan Lake,2019,200,29.17,10.03,80.7,7.54,18.86
Swan Lake,2019,201,28.34,9.56,80.7,7.53,18.63
Swan Lake,2019,202,27.47,9.09,80.7,7.52,18.4
Swan Lake,2019,203,26.56,8.61,80.6,7.51,18.18
Swan Lake,2019,204,25.62,8.13,80.6,7.5,17.97
Swan Lake,2019,205,24.65,7.65,80.6,7.49,17.76
Swan Lake,2019,206,23.65,7.17,80.5,7.48,17.56
Swan Lake,2019,207,22.64,6.7,80.5,7.47,17.37
Swan Lake,2019,208,21.61,6.23,80.5,7.46,17.18
Swan Lake,2019,209,20.57,5.78,80.4,7.45,16.99
Swan Lake,2019,210,19.53,5.33,80.4,7.44,16.82
Swan Lake,2019,211,18.49,4.9,80.4,7.43,16.65
Swan Lake,2019,212,17.45,4.48,80.3,7.42,16.48
Swan Lake,2019,213,16.43,4.08,80.3,7.41,16.32
Swan Lake,2019,214,15.42,3.7,80.3,7.4,16.17
Swan Lake,2019,215,14.43,3.34,80.2,7.39,16.02
Swan Lake,2019,216,13.47,3.0,80.2,7.38,15.88
Swan Lake,2019,217,12.53,2.68,80.2,7.37,15.75
Swan Lake,2019,218,11.63,2.39,80.1,7.36,15.62
Swan Lake,2019,219,10.76,2.11,80.1,7.35,15.5
Swan Lake,2019,220,9.92,1.86,80.1,7.34,15.38
Swan Lake,2019,221,9.12,1.63,80.0,7.33,15.27
Swan Lake,2019,222,8.36,1.42,80.0,7.32,15.17
Swan Lake,2019,223,7.63,1.23,80.0,7.31,15.07
Swan Lake,2019,224,6.95,1.06,79.9,7.3,14.98
Swan Lake,2019,225,6.3,0.91,79.9,7.29,14.89
Swan Lake,2019,226,5.7,0.78,79.9,7.28,14.81
Swan Lake,2019,227,5.13,0.67,79.8,7.27,14.73
Swan Lake,2019,228,4.6,0.57,79.8,7.26,14.66
Swan Lake,2019,229,4.11,0.48,79.8,7.25,14.59
Swan Lake,2019,230,3.66,0.41,79.7,7.24,14.53
Swan Lake,2019,231,3.24,0.35,79.7,7.23,14.47
Swan Lake,2019,232,2.86,0.3,79.7,7.22,14.42
Swan Lake,2019,233,2.51,0.26,79.6,7.21,14.37
Swan Lake,2019,234,2.2,0.23,79.6,7.2,14.33
Swan Lake,2019,235,1.92,0.2,79.6,7.19,14.29
Swan Lake,2019,236,1.67,0.18,79.5,7.18,14.25
Swan Lake,2019,237,1.45,0.16,79.5,7.17,14.22
Swan Lake,2019,238,1.26,0.14,79.5,7.16,14.19
Swan Lake,2019,239,1.09,0.13,79.4,7.15,14.17
Swan Lake,2019,240,0.95,0.12,79.4,7.14,14.15
Blackhawk Lake,2015,134,15.31,2.6,137.92,8.45,18.67
Blackhawk Lake,2015,135,18.36,4.37,132.64,8.46,18.65
Blackhawk Lake,2015,135,6.89,0.61,100.13,8.36,18.54
Blackhawk Lake,2015,135,1.74,0.38,110.28,8.41,17.19
Blackhawk Lake,2015,135,4.95,0.54,121.27,8.45,17.23
Blackhawk Lake,2015,136,5.08,0.82,98.32,8.3,19.42
Blackhawk Lake,2015,136,2.17,0.14,119.76,8.31,19.71
Blackhawk Lake,2015,137,80.0,21.44,158.84,8.54,17.17
Blackhawk Lake,2015,137,24.9,2.73,107.16,8.49,18.54
Blackhawk Lake,2015,138,6.6,0.69,130.44,8.4,20.32
Blackhawk Lake,2015,138,20.61,4.18,139.26,8.34,18.69
Blackhawk Lake,2015,140,1.12,0.22,116.23,8.25,17.83
Blackhawk Lake,2015,141,4.7,0.88,118.49,8.19,19.36
Blackhawk Lake,2015,141,24.37,5.59,161.56,8.37,19.74
Blackhawk Lake,2015,142,16.03,2.09,127.63,8.33,18.22
Blackhawk Lake,2015,142,5.9,1.45,133.35,8.47,19.3
Blackhawk Lake,2015,142,0.99,0.18,130.24,8.32,19.06
Blackhawk Lake,2015,144,13.48,3.65,121.55,8.55,23.7
Blackhawk Lake,2015,145,23.05,6.21,131.78,8.36,21.41
Blackhawk Lake,2015,145,21.34,5.47,145.42,8.52,20.58
Blackhawk Lake,2015,146,4.3,0.4,121.84,8.33,19.32
Blackhawk Lake,2015,147,46.54,12.28,131.77,8.72,18.39
Blackhawk Lake,2015,147,4.53,0.68,144.65,8.24,18.76
Blackhawk Lake,2015,148,11.08,2.63,95.63,8.63,20.9
Blackhawk Lake,2015,148,22.96,3.03,103.98,8.56,22.29
Blackhawk Lake,2015,148,44.05,7.03,153.74,8.69,20.58
Blackhawk Lake,2015,148,2.43,0.38,120.85,8.08,19.61
Blackhawk Lake,2015,148,8.52,0.52,123.08,8.45,19.65
Blackhawk Lake,2015,151,80.0,17.86,191.19,8.83,20.48
Blackhawk Lake,2015,154,16.43,5.47,132.95,8.66,20.67
Blackhawk Lake,2015,154,13.45,4.17,118.6,8.27,21.19
Blackhawk Lake,2015,154,9.2,0.73,121.5,8.25,22.14
Blackhawk Lake,2015,154,16.2,5.19,120.59,8.5,22.35
Blackhawk Lake,2015,154,43.96,12.18,138.73,8.25,18.99
Blackhawk Lake,2015,155,33.06,6.04,130.25,8.31,19.98
Blackhawk Lake,2015,155,1.22,0.24,122.79,8.5,22.93
Blackhawk Lake,2015,157,47.47,7.56,101.96,8.53,22.44
Blackhawk Lake,2015,157,4.42,0.61,128.19,8.18,21.5
Blackhawk Lake,2015,160,17.15,4.7,110.9,8.38,21.59
Blackhawk Lake,2015,160,5.25,1.22,112.08,8.34,23.51
Blackhawk Lake,2015,160,6.76,1.21,113.8,8.24,20.6
Blackhawk Lake,2015,160,2.45,0.25,118.82,8.33,20.83
Blackhawk Lake,2015,161,1.78,0.3,112.58,8.32,21.13
Blackhawk Lake,2015,161,1.53,0.36,115.76,8.29,23.93
Blackhawk Lake,2015,161,7.12,1.04,137.94,8.38,23.58
Blackhawk Lake,2015,161,53.46,6.2,170.98,8.66,22.21
Blackhawk Lake,2015,161,15.36,3.78,135.3,8.58,22.29
Blackhawk Lake,2015,162,5.67,0.52,107.99,8.3,20.4
Blackhawk Lake,2015,163,8.94,1.8,113.01,8.44,22.53
Blackhawk Lake,2015,163,10.91,1.93,156.22,8.4,23.67
Blackhawk Lake,2015,166,7.63,1.36,116.25,8.49,24.15
Blackhawk Lake,2015,166,56.19,13.41,132.47,8.69,24.41
Blackhawk Lake,2015,166,80.0,26.0,131.66,8.72,20.04
Blackhawk Lake,2015,166,26.44,5.68,134.74,8.59,23.64
Blackhawk Lake,2015,168,51.78,7.89,157.87,8.37,20.87
Blackhawk Lake,2015,168,80.0,19.7,147.63,8.88,20.09
Blackhawk Lake,2015,168,4.08,0.54,131.4,8.44,23.37
Blackhawk Lake,2015,169,18.61,2.9,139.18,8.43,22.9
Blackhawk Lake,2015,170,11.11,2.64,127.97,8.2,22.64
Blackhawk Lake,2015,170,3.03,0.21,115.64,8.64,21.46
Blackhawk Lake,2015,171,12.81,2.49,111.66,8.47,21.56
Blackhawk Lake,2015,171,17.79,5.89,111.08,8.58,23.06
Blackhawk Lake,2015,171,16.49,1.91,124.98,8.62,25.17
Blackhawk Lake,2015,172,35.95,7.17,125.23,8.59,22.71
Blackhawk Lake,2015,172,2.59,0.56,101.27,8.44,23.45
Blackhawk Lake,2015,173,2.91,0.42,97.04,8.58,22.4
Blackhawk Lake,2015,174,5.76,1.14,130.87,8.74,26.44
Blackhawk Lake,2015,174,43.86,8.09,152.64,8.59,20.94
Blackhawk Lake,2015,175,1.71,0.2,95.08,8.35,23.44
Blackhawk Lake,2015,175,11.59,1.41,118.21,8.59,24.88
Blackhawk Lake,2015,177,11.14,3.4,140.68,8.54,25.82
Blackhawk Lake,2015,177,10.99,1.66,102.97,8.57,25.15
Blackhawk Lake,2015,178,16.76,4.89,103.28,8.53,25.98
Blackhawk Lake,2015,178,21.59,5.36,91.66,8.42,23.53
Blackhawk Lake,2015,181,80.0,12.03,150.99,8.72,26.46
Blackhawk Lake,2015,181,3.57,0.61,116.22,8.42,23.98
Blackhawk Lake,2015,181,26.38,5.33,105.35,8.48,24.61
Blackhawk Lake,2015,181,18.61,2.08,128.19,8.58,24.29
Blackhawk Lake,2015,181,26.19,8.02,112.92,8.48,24.98
Blackhawk Lake,2015,181,16.32,2.92,130.62,8.71,24.96
Blackhawk Lake,2015,182,7.55,1.74,144.32,8.58,26.29
Blackhawk Lake,2015,183,1.83,0.22,72.51,8.56,26.66
Blackhawk Lake,2015,184,67.96,12.45,167.12,8.78,21.61
Blackhawk Lake,2015,184,11.72,2.85,123.87,8.63,26.4
Blackhawk Lake,2015,184,7.31,1.41,115.21,8.66,23.93
Blackhawk Lake,2015,184,3.91,0.49,99.03,8.72,24.46
Blackhawk Lake,2015,185,15.16,3.36,104.48,8.72,28.0
Blackhawk Lake,2015,185,10.36,2.5,139.73,8.56,24.48
Blackhawk Lake,2015,185,5.39,0.73,94.11,8.53,23.03
Blackhawk Lake,2015,186,7.19,1.4,118.23,8.36,24.22
Blackhawk Lake,2015,186,58.1,6.81,134.36,8.62,23.82
Blackhawk Lake,2015,186,7.28,1.58,99.03,8.31,24.06
Blackhawk Lake,2015,186,2.39,0.3,120.73,8.36,25.19
Blackhawk Lake,2015,187,59.3,7.62,135.54,8.81,25.2
Blackhawk Lake,2015,187,32.1,7.07,138.58,8.59,24.55
Blackhawk Lake,2015,187,1.94,0.16,124.16,8.37,25.2
Blackhawk Lake,2015,187,5.55,0.85,121.57,8.45,23.82
Blackhawk Lake,2015,187,15.05,3.52,101.94,8.45,25.96
Blackhawk Lake,2015,188,1.76,0.24,130.46,8.36,23.68
Blackhawk Lake,2015,191,6.12,0.77,125.18,8.55,27.69
Blackhawk Lake,2015,192,3.67,0.57,151.15,8.3,26.31
Blackhawk Lake,2015,192,11.92,1.5,108.69,8.45,26.98
Blackhawk Lake,2015,193,36.82,11.94,131.98,8.75,24.15
Blackhawk Lake,2015,193,41.64,9.91,121.78,8.52,24.84
Blackhawk Lake,2015,194,14.57,2.69,113.87,8.66,28.0
Blackhawk Lake,2015,195,20.68,6.23,116.53,8.56,27.37
Blackhawk Lake,2015,195,4.13,0.28,127.06,8.6,23.28
Blackhawk Lake,2015,195,34.61,9.55,137.11,8.62,25.7
Blackhawk Lake,2015,195,6.63,0.81,100.23,8.64,26.51
Blackhawk Lake,2015,196,7.9,0.74,96.26,8.52,26.53
Blackhawk Lake,2015,196,18.18,2.65,76.61,8.8,25.36
Blackhawk Lake,2015,197,43.32,8.69,110.64,8.71,26.51
Blackhawk Lake,2015,198,9.33,2.15,133.37,8.6,24.28
Blackhawk Lake,2015,199,58.82,17.87,137.85,8.6,25.75
Blackhawk Lake,2015,201,0.55,0.11,95.3,8.35,25.67
Blackhawk Lake,2015,201,33.56,8.67,124.22,8.91,24.66
Blackhawk Lake,2015,202,48.02,14.06,118.31,8.42,25.43
Blackhawk Lake,2015,203,9.33,0.59,130.66,8.47,26.06
Blackhawk Lake,2015,204,20.47,5.17,126.11,8.53,26.23
Blackhawk Lake,2015,204,10.5,2.47,113.35,8.5,23.84
Blackhawk Lake,2015,205,3.46,0.5,88.87,8.33,26.46
Blackhawk Lake,2015,205,5.23,0.89,105.48,8.42,28.0
Blackhawk Lake,2015,206,5.53,1.17,140.54,8.5,25.7
Blackhawk Lake,2015,208,57.02,16.52,154.99,8.8,27.02
Blackhawk Lake,2015,208,41.86,4.73,127.04,8.62,27.81
Blackhawk Lake,2015,208,80.0,14.26,141.82,8.8,24.69
Blackhawk Lake,2015,214,10.13,2.08,124.42,8.58,26.26
Blackhawk Lake,2015,214,5.49,0.85,129.38,8.65,26.41
Blackhawk Lake,2015,214,1.09,0.16,120.59,8.5,27.58
Blackhawk Lake,2015,215,2.61,0.43,134.05,8.46,24.04
Blackhawk Lake,2015,215,33.22,7.64,117.67,8.74,28.0
Blackhawk Lake,2015,215,0.71,0.18,107.33,8.53,25.22
Blackhawk Lake,2015,217,6.26,1.04,87.13,8.41,26.59
Blackhawk Lake,2015,217,5.49,0.85,105.65,8.26,26.3
Blackhawk Lake,2015,217,29.75,7.36,116.8,8.65,27.16
Blackhawk Lake,2015,219,8.76,2.11,125.31,8.41,25.55
Blackhawk Lake,2015,220,12.94,4.15,115.47,8.63,27.06
Blackhawk Lake,2015,221,5.52,1.2,102.04,8.56,26.58
Blackhawk Lake,2015,221,10.75,3.65,120.48,8.56,26.26
Blackhawk Lake,2015,221,24.19,5.55,158.38,8.62,25.26
Blackhawk Lake,2015,222,1.57,0.23,96.95,8.75,26.92
Blackhawk Lake,2015,222,4.25,0.44,113.47,8.38,24.1
Blackhawk Lake,2015,222,9.57,1.89,97.19,8.4,27.4
Blackhawk Lake,2015,223,5.71,1.39,124.57,8.5,26.87
Blackhawk Lake,2015,223,34.31,9.11,125.14,8.74,27.0
Blackhawk Lake,2015,223,80.0,25.36,138.87,8.72,27.01
Blackhawk Lake,2015,223,3.89,0.38,118.34,8.37,26.26
Blackhawk Lake,2015,225,10.87,1.1,119.02,8.47,28.0
Blackhawk Lake,2015,225,18.39,3.03,84.81,8.64,28.0
Blackhawk Lake,2015,226,4.23,0.22,111.86,8.46,26.55
Blackhawk Lake,2015,226,9.17,1.18,98.03,8.59,28.0
Blackhawk Lake,2015,226,21.98,6.43,133.19,8.64,26.22
Blackhawk Lake,2015,228,11.59,1.38,142.27,8.44,26.1
Blackhawk Lake,2015,229,80.0,15.67,137.15,8.95,28.0
Blackhawk Lake,2015,229,2.8,0.67,109.4,8.64,26.81
Blackhawk Lake,2015,229,6.73,1.38,102.15,8.46,27.95
Blackhawk Lake,2015,229,6.17,0.7,126.53,8.58,24.73
Blackhawk Lake,2015,230,8.62,1.66,148.0,8.38,27.38
Blackhawk Lake,2015,230,14.66,2.21,79.11,8.71,25.5
Blackhawk Lake,2015,231,8.95,2.18,89.18,8.5,27.59
Blackhawk Lake,2015,232,25.21,6.04,115.1,8.48,25.27
Blackhawk Lake,2015,232,48.69,12.05,132.95,8.68,25.39
Blackhawk Lake,2015,232,2.96,0.55,106.72,8.52,26.84
Blackhawk Lake,2015,232,56.24,16.27,144.81,8.83,28.0
Blackhawk Lake,2015,233,12.9,2.85,96.05,8.45,26.6
Blackhawk Lake,2015,234,4.78,1.08,91.64,8.33,27.07
Blackhawk Lake,2015,234,23.64,2.61,117.81,8.63,28.0
Blackhawk Lake,2015,236,64.06,16.22,133.45,8.79,28.0
Blackhawk Lake,2015,236,22.8,6.74,153.25,8.53,27.18
Blackhawk Lake,2015,236,80.0,19.95,166.92,8.79,27.78
Blackhawk Lake,2015,237,7.01,1.18,139.96,8.48,28.0
Blackhawk Lake,2015,237,43.17,9.39,136.96,8.69,25.13
Blackhawk Lake,2015,237,11.04,1.55,82.91,8.57,26.32
Blackhawk Lake,2015,237,11.99,2.41,92.84,8.46,25.99
Blackhawk Lake,2015,237,7.36,0.62,116.07,8.5,27.58
Blackhawk Lake,2015,239,42.0,11.92,149.8,8.65,27.45
Blackhawk Lake,2015,240,80.0,19.76,138.4,8.8,28.0
Blackhawk Lake,2015,241,80.0,23.86,123.55,8.7,28.0
Blackhawk Lake,2015,241,0.79,0.17,97.29,8.56,26.17
Blackhawk Lake,2015,242,1.92,0.34,70.09,8.53,28.0
Blackhawk Lake,2015,243,10.27,2.15,100.21,8.48,26.11
Blackhawk Lake,2015,244,80.0,21.25,133.3,8.84,28.0
Blackhawk Lake,2015,244,1.73,0.38,107.68,8.47,25.89
Blackhawk Lake,2015,244,77.88,12.4,144.46,8.81,25.0
Blackhawk Lake,2015,245,5.53,0.77,119.89,8.35,24.62
Blackhawk Lake,2015,245,2.69,0.64,85.77,8.41,28.0
Blackhawk Lake,2015,246,1.77,0.22,107.55,8.68,28.0
Blackhawk Lake,2015,246,80.0,25.28,181.94,8.98,26.34
Blackhawk Lake,2015,246,7.09,0.43,119.95,8.35,26.52
Blackhawk Lake,2015,246,4.16,0.78,70.99,8.44,27.13
Blackhawk Lake,2015,246,22.29,5.14,89.73,8.59,25.05
Blackhawk Lake,2015,246,22.34,3.29,126.39,8.46,26.02
Blackhawk Lake,2015,248,2.82,0.69,105.36,8.49,27.82
Blackhawk Lake,2015,249,6.55,1.46,112.19,8.46,27.63
Blackhawk Lake,2015,249,14.43,4.43,139.3,8.64,27.57
Blackhawk Lake,2015,249,7.18,1.23,106.33,8.58,25.64
Blackhawk Lake,2015,250,6.62,0.48,120.74,8.64,26.49
Blackhawk Lake,2015,251,30.61,9.96,133.32,8.55,26.64
Blackhawk Lake,2015,252,38.01,6.62,143.75,8.46,26.36
Blackhawk Lake,2015,253,80.0,19.27,111.65,8.91,28.0
Blackhawk Lake,2015,254,80.0,16.89,140.61,8.81,27.95
Blackhawk Lake,2015,254,3.46,0.7,107.79,8.87,27.22
Blackhawk Lake,2015,255,14.96,3.28,85.33,8.62,24.68
Blackhawk Lake,2015,256,39.46,9.09,143.41,8.61,27.63
Blackhawk Lake,2015,256,19.22,3.75,94.96,8.54,26.75
Blackhawk Lake,2015,257,7.3,1.27,115.82,8.74,26.0
Blackhawk Lake,2015,257,30.68,7.52,114.89,8.62,26.63
Blackhawk Lake,2015,257,11.25,3.44,112.7,8.39,26.94
Blackhawk Lake,2015,259,19.57,2.86,106.12,8.67,26.87
